"ID","Code","Name","Worksheet_id","IsDelete","CreateBy","CreateDate","CreateTerminal","UpdateBy","UpdateDate","UpdateTerminal"
"1","000","TIDAK DIKETAHUI",,"0","SYSTEM","12/9/2012 13:56:29","DeniPC","erna qs","29/10/2012 14:15:24","192.168.180.70, 117.102.116.237"
"2","001","BUKU","1","0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"3","002","CD-ROM","2","0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"4","003","FLOPPY DISK","2","0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"5","004","VCD","2","0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"6","005","DVD","2","0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"7","006","PERMAINAN",,"0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"8","007","ALAT MUSIK",,"0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"9","008","MONOGRAF","1","0","SYSTEM","12/9/2012 13:56:29","DeniPC","SYSTEM","12/9/2012 13:56:29","DeniPC"
"10","009","media tambahan","1","0","inlislite","12/6/2013 15:21:23","192.168.16.26","inlislite","12/6/2013 15:21:23","192.168.16.26"
