"ID","Code","Name","IsDelete","CreateBy","CreateDate","CreateTerminal","UpdateBy","UpdateDate","UpdateTerminal"
"1","001","Pembelian","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"2","002","Hadiah","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"3","003","Penggantian","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"4","004","Penggandaan","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"5","005","Pengadaan","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"6","006","Hibah","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"7","007","Tukar Menukar","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"8","008","Terbitan Sendiri","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"9","009","Kartografi","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"10","010","Deposit","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"11","012","Perorangan","0","SYSTEM","12/9/2012 13:56:30","DeniPC","SYSTEM","12/9/2012 13:56:30","DeniPC"
"12","013","tambahan","0","inlislite","12/6/2013 15:20:36","192.168.16.26","inlislite","12/6/2013 15:20:36","192.168.16.26"
